TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
ATF3	c-fos	0.9999	50.27	0.272	rgb(220,165,166)	1.9962	2,2
ZBTB22	LDB2	0.9999	50.46	0.462	rgb(222,129,130)	2	None
GZF1	ZFP36L2	0.9998	50.44	0.443	rgb(222,132,133)	1.9996	None
IRF1	C2CD4B	0.9998	50.26	0.261	rgb(220,167,168)	1.996	2,2
JRKL	ITIH5	0.9997	50.4	0.233	rgb(220,173,173)	1.9988	None
TIGD2	ITIH5	0.9997	50.4	0.233	rgb(220,173,173)	1.9988	None
ATF3	GADD45B	0.99955	50.25	0.253	rgb(220,169,169)	1.9958	2,2
HIF1A	TNFRSF6B	0.99955	50.25	0.245	rgb(220,170,171)	1.9958	None
IRF1	NFKBIA	0.99955	50.25	0.254	rgb(220,168,169)	1.9958	None
CENPB	RASSF1	0.99945	50.38	0.382	rgb(221,144,145)	1.9984	None
PRDM12	TM4SF1	0.99945	50.38	0.38	rgb(221,144,145)	1.9984	None
ZNF385D	RELA	0.9994	50.37	0.368	rgb(221,147,147)	1.9982	None
ATF3	ZFP36	0.9992	50.24	0.237	rgb(220,172,172)	1.9956	None
IRF1	GBP2	0.9992	50.24	0.242	rgb(220,171,171)	1.9956	2,2
KLF4	EDNRB	0.9992	50.24	0.238	rgb(220,171,172)	1.9956	None
PHF1	PCDH17	0.9992	50.34	0.337	rgb(221,153,153)	1.9976	None
ZBTB22	TRIM25	0.99915	50.33	0.327	rgb(221,155,155)	1.9974	None
ATF3	EGR1	0.999	50.23	0.23	rgb(220,173,174)	1.9953	2,2
IRF1	BATF2	0.999	50.23	0.228	rgb(220,173,174)	1.9953	None
MYPOP	CCND1	0.999	50.32	0.318	rgb(220,156,157)	1.9972	None
ZBTB48	HES1	0.99895	50.31	0.31	rgb(220,158,158)	1.997	None
BATF2	IRF1	0.9988	50.22	0.223	rgb(219,174,175)	1.9951	2,2
EGR1	ATF3	0.9988	50.22	0.225	rgb(219,174,174)	1.9951	None
NEUROG1	ZNF331	0.9988	50.3	0.301	rgb(220,159,160)	1.9968	None
PRDM12	PRKCH	0.99875	50.29	0.286	rgb(220,162,163)	1.9966	None
EGR1	c-fos	0.9986	50.22	0.219	rgb(219,175,176)	1.9951	2,2
HIF1A	C2CD4B	0.9986	50.21	0.207	rgb(219,177,178)	1.9949	None
IRF1	TNFRSF6B	0.9986	50.21	0.214	rgb(219,176,177)	1.9949	None
CENPB	HYAL1	0.9982	50.27	0.268	rgb(220,166,166)	1.9962	None
IRF1	APOL2	0.9982	50.2	0.201	rgb(219,179,179)	1.9947	None
NEUROG1	NFIB	0.9982	50.27	0.269	rgb(220,166,166)	1.9962	None
PROX1	IFIT3	0.9982	50.27	0.233	rgb(220,173,173)	1.9962	None
PROX2	IFIT3	0.9982	50.27	0.233	rgb(220,173,173)	1.9962	None
