	Alv_Gen_Intermediate_Ctrl	Alv_Cap_Ctrl	Gen_Cap_Ctrl	Activated_Alv_Cap_Ctrl	Activated_Gen_Cap_Ctrl	Gen_Cap_LPS	Alv_Gen_Intermediate_LPS	Alv_Cap_LPS	Activated_Gen_Cap_LPS	Activated_Alv_Cap_LPS	Alv_Cap_Combo	Activated_Alv_Cap_Combo	Gen_Cap_Combo	Activated_Gen_Cap_Combo	Alv_Gen_Intermediate_Combo
NOC2L	4.8916	4.7733	5.1047	5.0055	5.1985	4.4525	4.5951	4.2677	4.8701	4.3537	4.5717	4.8048	5.0558	4.959	4.6328
ENSMMUG00000008350	1.1798	0.92909	1.7227	1.1666	3.0257	1.8928	0.64627	0.93593	0.81833	2.252	0.23631	0.93242	1.1289	1.5268	0.95138
HES4	2.9928	2.6543	3.6326	2.58	4.4874	4.9344	4.5951	3.686	4.8701	3.6913	2.6643	3.9854	3.8459	3.1942	3.1597
ENSMMUG00000001819	5.4603	4.891	5.7063	8.2456	6.3144	8.1554	7.6635	7.611	8.284	9.3152	6.8172	9.1371	7.5453	8.3564	7.0667
AGRN	2.9541	3.1917	3.7228	3.2801	0	3.2755	2.3091	2.8859	2.9047	3.1945	3.5676	3.6093	3.5328	4.1646	3.3031
C1orf159	3.1381	3.4002	3.3508	2.8529	3.0257	3.753	3.553	3.8774	3.5468	3.9474	3.0832	3.9001	3.2185	2.8623	2.8215
TTLL10	4.2424	4.6226	3.2931	4.3867	0	2.2627	2.96	3.8774	2.7496	3.1945	4.2461	4.3704	2.7711	2.2518	3.8148
SDF4	6.9215	6.8907	6.9144	7.3138	6.936	7.1563	7.3554	7.3454	7.4004	7.3192	7.0306	7.3675	7.0872	7.1121	7.0965
UBE2J2	4.7405	4.9525	4.5792	5.0055	4.8863	4.3602	4.4158	4.9174	4.7524	4.8379	4.6454	4.6568	4.531	4.397	4.6328
ACAP3	1.1798	1.9893	1.5363	1.1666	0	1.0603	1.4305	0	0.81833	0.70244	1.8039	1.6414	1.1289	1.5268	0.55273
INTS11	5.3967	5.4932	5.4986	5.3071	5.4549	5.6156	5.4391	5.572	5.4761	5.448	5.2688	5.6542	5.4217	5.4887	5.4882
CPTP	3.5293	3.6432	3.3926	2.8529	3.9343	3.3154	3.4818	4.0464	3.3449	3.0921	3.8606	4.0127	3.478	3.3795	4.116
MXRA8	1.8201	2.3956	2.3788	2.2432	0	1.2368	0	0.93593	0.46642	2.0483	3.5891	2.4705	2.8596	2.4303	2.0936
CCNL2	7.534	7.8267	7.9534	7.9366	7.1687	7.7848	7.6103	7.9935	7.7048	8.0052	8.0062	8.0828	8.0871	7.7175	7.8615
ENSMMUG00000013280	7.1636	6.9937	6.906	7.0683	7.3053	7.3463	7.2415	7.8061	8.1834	7.7849	7.6385	7.4015	7.2258	7.8211	7.5562
ENSMMUG00000047918	4.597	4.2245	3.8975	4.4701	4.4874	2.5569	3.0612	3.7849	3.4494	3.6913	4.2729	4.8957	3.7681	4.2621	4.6597
ENSMMUG00000045301	4.7853	5.2795	4.7921	5.6666	4.8863	4.5223	4.8425	5.082	4.7319	5.1998	5.3654	4.9532	4.8766	4.959	5.4269
ENSMMUG00000001549	4.597	4.5765	4.6209	5.0055	0	4.4878	4.5951	4.4595	4.4337	4.5207	4.4478	4.5302	4.5904	4.3534	4.46
SSU72	7.0895	7.0664	6.6398	7.2205	7.1687	6.8349	7.064	7.0196	7.0309	6.8237	6.9498	6.8438	6.6601	6.6631	6.9733
MIB2	5.1955	5.1333	5.1662	5.6666	5.8617	5.0214	4.561	5.0426	4.7319	5.2951	4.6038	4.8358	5.0464	4.4394	4.8816
