TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
HOPX	EMP2	0.9999	50.37	0.369	rgb(221,147,147)	1.9944	2,2
JRKL	KRT7	0.9999	50.65	0.645	rgb(224, 94, 95)	2	None
HOPX	ANXA2	0.99985	50.36	0.356	rgb(221,149,150)	1.9942	2,2
TIGD1	C1orf115	0.99975	50.44	0.439	rgb(222,133,134)	1.9958	None
ZNF385D	FKBP4	0.99975	50.44	0.441	rgb(222,133,134)	1.9958	None
HOPX	CAV1	0.9996	50.35	0.351	rgb(221,150,151)	1.994	2,2
HOPX	S100A6	0.9996	50.35	0.346	rgb(221,151,152)	1.994	2,2
MESP2	ATP1A1	0.9996	50.43	0.432	rgb(222,135,135)	1.9956	None
HOPX	CAV2	0.9995	50.34	0.341	rgb(221,152,153)	1.9938	2,2
PHF1	ACTG1	0.9995	50.39	0.394	rgb(221,142,143)	1.9948	None
HOPX	S100A10	0.99945	50.33	0.328	rgb(221,154,155)	1.9936	2,2
HOPX	AGER	0.9994	50.32	0.324	rgb(221,155,156)	1.9934	2,2
ID3	ID1	0.9992	50.3	0.304	rgb(220,159,159)	1.993	2,2
ZBTB22	MYLIP	0.9992	50.36	0.365	rgb(221,147,148)	1.9942	None
ZNF614	SFTPC	0.9992	50.36	0.357	rgb(221,149,149)	1.9942	None
ZNF664	EDEM2	0.9992	50.36	0.355	rgb(221,149,150)	1.9942	None
HOPX	GSTM5	0.99915	50.29	0.287	rgb(220,162,163)	1.9927	2,2
TIGD2	TEX2	0.99905	50.34	0.339	rgb(221,152,153)	1.9938	None
ZBTB48	EGR1	0.99905	50.34	0.337	rgb(221,153,153)	1.9938	None
HES6	GPRC5A	0.99895	50.33	0.334	rgb(221,153,154)	1.9936	None
ZBTB20	HSP90B1	0.99895	50.33	0.326	rgb(221,155,155)	1.9936	None
ZNF540	DNTTIP1	0.9989	50.32	0.316	rgb(220,157,157)	1.9934	None
HOPX	CAVIN2	0.99865	50.27	0.273	rgb(220,165,165)	1.9923	2,2
HOPX	ENSMMUG00000013446	0.99865	50.27	0.269	rgb(220,166,166)	1.9923	2,2
HOPX	INMT	0.99865	50.27	0.275	rgb(220,165,165)	1.9923	2,2
ID2	ID3	0.99865	50.27	0.267	rgb(220,166,166)	1.9923	2,2
ID3	ID2	0.99865	50.27	0.269	rgb(220,166,166)	1.9923	2,2
ZFHX4	ALAS1	0.9985	50.3	0.296	rgb(220,160,161)	1.993	None
ZNF653	EMP2	0.9985	50.3	0.295	rgb(220,161,161)	1.993	None
ZNF74	LCN2	0.9985	50.3	0.305	rgb(220,159,159)	1.993	None
ATF3	EGR1	0.9982	50.26	0.262	rgb(220,167,167)	1.9921	2,2
EGR1	ATF3	0.9982	50.26	0.26	rgb(220,167,168)	1.9921	None
HOPX	AQP5	0.9982	50.26	0.255	rgb(220,168,169)	1.9921	2,2
HOPX	CLIC3	0.9982	50.26	0.259	rgb(220,167,168)	1.9921	2,2
HOPX	SPARC	0.9982	50.26	0.257	rgb(220,168,168)	1.9921	2,2
HOPX	TNNC1	0.9982	50.26	0.258	rgb(220,168,168)	1.9921	2,2
POU2AF1	S100A9	0.99795	50.29	0.288	rgb(220,162,163)	1.9927	None
PRDM12	VEPH1	0.99795	50.29	0.294	rgb(220,161,161)	1.9927	None
ZBTB20	BLVRB	0.99795	50.29	0.293	rgb(220,161,162)	1.9927	None
ZNF626	SFTPC	0.99795	50.29	0.289	rgb(220,162,162)	1.9927	None
ZNF664	PPIC	0.99795	50.29	0.289	rgb(220,162,162)	1.9927	None
HOPX	AKR1C1	0.9977	50.25	0.251	rgb(220,169,170)	1.9919	2,2
HOPX	CD81	0.9977	50.25	0.246	rgb(220,170,170)	1.9919	2,2
HOPX	PDLIM2	0.9977	50.25	0.245	rgb(220,170,171)	1.9919	2,2
HOPX	PLLP	0.9977	50.25	0.251	rgb(220,169,170)	1.9919	2,2
HOPX	SPOCK2	0.9977	50.25	0.25	rgb(220,169,170)	1.9919	2,2
ATOH7	SFTPC	0.9974	50.28	0.277	rgb(220,164,165)	1.9925	None
CEBPZ	LCN2	0.9974	50.28	0.279	rgb(220,164,164)	1.9925	None
MESP1	ID3	0.9974	50.28	0.282	rgb(220,163,164)	1.9925	None
MYPOP	CCND1	0.9974	50.28	0.279	rgb(220,164,164)	1.9925	None
ZNF177	NEDD9	0.9974	50.28	0.284	rgb(220,163,163)	1.9925	None
ZNF737	ZFP36L1	0.9974	50.28	0.277	rgb(220,164,165)	1.9925	None
ETV1	SFTPC	0.99705	50.24	0.24	rgb(220,171,172)	1.9917	None
ETV5	SFTPC	0.99705	50.24	0.242	rgb(220,171,171)	1.9917	None
HOPX	AQP1	0.99705	50.24	0.235	rgb(220,172,173)	1.9917	2,2
HOPX	CLIC5	0.99705	50.24	0.244	rgb(220,170,171)	1.9917	2,2
HOPX	ENSMMUG00000022334	0.99705	50.24	0.237	rgb(220,172,172)	1.9917	2,2
HOPX	PDZK1IP1	0.99705	50.24	0.242	rgb(220,171,171)	1.9917	2,2
IRF1	GBP2	0.99705	50.24	0.239	rgb(220,171,172)	1.9917	2,2
IKZF5	RPL7A	0.99675	50.27	0.268	rgb(220,166,166)	1.9923	None
PRDM12	CAB39	0.99675	50.27	0.266	rgb(220,166,167)	1.9923	None
PRDM12	LSM4	0.99675	50.27	0.27	rgb(220,165,166)	1.9923	None
RFX8	PLA2G1B	0.99675	50.27	0.269	rgb(220,166,166)	1.9923	None
ZBTB48	KLF10	0.99675	50.27	0.267	rgb(220,166,166)	1.9923	None
ZNF793	SFTPC	0.99675	50.27	0.271	rgb(220,165,166)	1.9923	None
DPF3	ALPK1	0.9965	50.26	0.263	rgb(220,167,167)	1.9921	None
LIN28B	COL4A4	0.9965	50.26	0.262	rgb(220,167,167)	1.9921	None
PRDM12	TM4SF1	0.9965	50.26	0.259	rgb(220,168,168)	1.9921	None
ZBTB48	DDIT3	0.9965	50.26	0.257	rgb(220,168,168)	1.9921	None
ZNF423	VIM	0.9965	50.26	0.263	rgb(220,167,167)	1.9921	None
EGR1	c-fos	0.99615	50.23	0.232	rgb(220,173,173)	1.9915	2,2
HOPX	ANXA5	0.99615	50.23	0.23	rgb(220,173,174)	1.9915	2,2
HOPX	CRYAB	0.99615	50.23	0.228	rgb(220,173,174)	1.9915	2,2
HOPX	SFTPD	-0.99615	50.23	-2.3E-01	rgb(166,186,226)	1.9915	2,2
HOPX	TIMP3	0.99615	50.23	0.228	rgb(220,173,174)	1.9915	2,2
IRF1	NFKBIA	0.99615	50.23	0.234	rgb(220,172,173)	1.9915	None
PDZK1IP1	HOPX	0.99615	50.23	0.231	rgb(220,173,173)	1.9915	None
ATOH7	ANXA2	0.99585	50.25	0.254	rgb(220,169,169)	1.9919	None
LIN28B	COL4A3	0.99585	50.25	0.254	rgb(220,169,169)	1.9919	None
POU2AF1	ANXA5	0.99585	50.25	0.248	rgb(220,170,170)	1.9919	None
TIGD2	KRT7	-0.99585	50.25	-2.5E-01	rgb(164,185,226)	1.9919	None
ZNF385D	RELA	0.99585	50.25	0.251	rgb(220,169,170)	1.9919	None
ZNF652	SFTA2	0.99585	50.25	0.245	rgb(220,170,171)	1.9919	None
DNTTIP1	CCL20	0.9954	50.22	0.223	rgb(219,174,175)	1.9913	2,2
HOPX	ANXA1	0.9954	50.22	0.224	rgb(219,174,175)	1.9913	2,2
HOPX	C3	-0.9954	50.22	-2.2E-01	rgb(170,188,225)	1.9913	2,2
HOPX	ENSMMUG00000002163	0.9954	50.22	0.22	rgb(219,175,175)	1.9913	2,2
HOPX	ENSMMUG00000018653	0.9954	50.22	0.217	rgb(219,176,176)	1.9913	2,2
HOPX	GPX4	0.9954	50.22	0.215	rgb(219,176,176)	1.9913	2,2
HOPX	ID3	0.9954	50.22	0.223	rgb(219,174,175)	1.9913	2,2
HOPX	LGALS3	0.9954	50.22	0.215	rgb(219,176,176)	1.9913	2,2
HOPX	STMN1	0.9954	50.22	0.218	rgb(219,175,176)	1.9913	2,2
ATOH7	ZFP36L1	0.99485	50.24	0.24	rgb(220,171,172)	1.9917	None
DPF3	TRIM8	0.99485	50.24	0.237	rgb(220,172,172)	1.9917	None
POU2AF1	ELF3	0.99485	50.24	0.238	rgb(220,171,172)	1.9917	None
ZBTB32	HM13	0.99485	50.24	0.236	rgb(220,172,172)	1.9917	None
ZBTB43	C3	0.99485	50.24	0.24	rgb(220,171,172)	1.9917	None
ZBTB48	SDCBP	0.99485	50.24	0.24	rgb(220,171,172)	1.9917	None
ZNF440	SFTPC	0.99485	50.24	0.242	rgb(220,171,171)	1.9917	None
ZNF540	SPRY1	0.99485	50.24	0.242	rgb(220,171,171)	1.9917	None
ZNF626	SLC34A2	0.99485	50.24	0.238	rgb(220,172,172)	1.9917	None
ZNF808	ELF3	0.99485	50.24	0.242	rgb(220,171,171)	1.9917	None
ZNF81	SPOCK2	0.99485	50.24	0.239	rgb(220,171,172)	1.9917	None
ETV1	LAMP3	0.99425	50.21	0.208	rgb(219,177,178)	1.9911	None
ETV5	LAMP3	0.99425	50.21	0.205	rgb(219,178,178)	1.9911	None
HOPX	ANXA3	0.99425	50.21	0.213	rgb(219,176,177)	1.9911	2,2
HOPX	CAPN2	0.99425	50.21	0.206	rgb(219,178,178)	1.9911	2,2
HOPX	CST6	0.99425	50.21	0.21	rgb(219,177,177)	1.9911	2,2
HOPX	CYP4B1	0.99425	50.21	0.207	rgb(219,177,178)	1.9911	2,2
HOPX	ENSMMUG00000002676	0.99425	50.21	0.21	rgb(219,177,177)	1.9911	2,2
HOPX	ENSMMUG00000004852	0.99425	50.21	0.205	rgb(219,178,178)	1.9911	2,2
HOPX	RDX	0.99425	50.21	0.212	rgb(219,177,177)	1.9911	2,2
HOPX	S100A4	0.99425	50.21	0.207	rgb(219,178,178)	1.9911	2,2
ID3	HOPX	0.99425	50.21	0.206	rgb(219,178,178)	1.9911	2,2
IRF1	CCL20	0.99425	50.21	0.211	rgb(219,177,177)	1.9911	2,2
BPTF	LCN2	0.99375	50.23	0.227	rgb(219,174,174)	1.9915	None
NEUROG1	KCNJ15	0.99375	50.23	0.232	rgb(220,173,173)	1.9915	None
TIGD6	AKR1C1	0.99375	50.23	0.233	rgb(220,172,173)	1.9915	None
ZNF337	ID1	0.99375	50.23	0.228	rgb(220,174,174)	1.9915	None
ZNF565	BCAM	0.99375	50.23	0.23	rgb(220,173,174)	1.9915	None
ZNF589	GADD45G	0.99375	50.23	0.228	rgb(220,174,174)	1.9915	None
ZNF626	LCN2	0.99375	50.23	0.232	rgb(220,173,173)	1.9915	None
ZNF653	SPRY1	0.99375	50.23	0.226	rgb(219,174,174)	1.9915	None
ZNF701	SFTPD	0.99375	50.23	0.226	rgb(219,174,174)	1.9915	None
ZNF704	ID3	0.99375	50.23	0.232	rgb(220,173,173)	1.9915	None
ATF3	GADD45B	0.9929	50.2	0.196	rgb(219,180,180)	1.9909	2,2
