	AT1_Progenitor_Ctrl	Differentiating_AT2_Ctrl	AT2_Progenitor_Ctrl	AT1_AT2_Ctrl	AT1_Ctrl	Differentiating_AT1_Ctrl	AT2_Ctrl	Differentiating_AT1_LPS	AT2_LPS	Differentiating_AT2_LPS	AT1_LPS	AT2_Progenitor_LPS	AT1_AT2_LPS	AT1_Progenitor_LPS	AT2_Combo	AT1_Combo	Differentiating_AT1_Combo	AT1_Progenitor_Combo	Differentiating_AT2_Combo	AT1_AT2_Combo	AT2_Progenitor_Combo
NOC2L	5.2593	4.0583	4.5006	4.9022	5.0116	5.2761	4.4201	5.2121	4.8371	5.07	5.4688	5.1327	5.303	4.8478	4.4255	4.6571	4.9923	4.9679	5.0167	4.8701	4.784
HES4	3.482	4.2016	2.8009	4.8295	4.103	3.4078	4.1778	4.621	3.8188	4.4374	4.4291	3.3982	4.0348	0	3.4796	3.8266	2.5819	3.2883	3.1759	4.0788	3.3804
ENSMMUG00000001819	4.5262	3.516	4.4022	4.2009	3.4269	2.6225	4.0395	6.2803	6.0019	5.5578	7.3532	6.4746	6.5535	6.6189	5.195	6.8696	5.792	6.2768	4.4764	6.2275	5.6298
AGRN	4.1663	2.9927	3.6078	3.7006	4.6533	5.2848	2.7039	4.2254	1.4498	2.3145	3.3464	1.8978	2.165	3.897	2.0727	3.7131	4.7301	3.6043	2.435	2.7465	2.6577
RNF223	2.1346	0.90301	1.3174	2.5604	1.5827	1.5239	2.197	1.5692	1.2392	2.7146	2.2229	1.8978	2.211	2.4938	0.84937	1.506	1.3284	0	1.8451	1.6603	1.142
C1orf159	1.4306	3.6217	2.9477	3.1437	2.8932	3.53	2.9809	4.2254	2.7684	2.7146	3.5408	3.8711	3.4037	3.3597	2.6857	3.037	3.7756	3.1655	2.8525	2.6786	3.125
ENSMMUG00000040640	0	1.4541	1.6952	2.2247	2.1129	2.0985	2.2813	1.2088	1.7965	0	1.835	1.2408	1.2059	0	2.0103	2.4856	1.7732	1.762	1.0265	1.8575	1.7713
ENSMMUG00000042733	0	0.90301	0.80414	0.31607	0.28889	0.76842	0.86976	0.7275	0.57992	1.3728	0.45083	0	0.36782	0	0.43969	0.69012	0.53942	0	1.737	1.1601	1.2917
TTLL10	2.1346	2.1635	1.3174	0.57519	0.7356	0.95448	0.35139	0.7275	0.31891	0.8439	0	0.74987	0.1956	0	0.43969	0.54603	0.38102	2.318	1.1994	0.82516	0.78585
TNFRSF18	0	0	0	0	0.28889	0	0	0	1.69	1.759	1.0707	1.6064	1.4554	3.3597	1.0489	1.654	1.3284	1.762	0.33259	1.3468	1.6655
SDF4	6.6587	5.531	5.9926	6.1607	6.2212	6.1327	6.2164	6.1263	6.4648	6.3589	6.6124	6.0686	6.7117	5.063	6.3508	6.5769	6.355	6.4708	6.0059	6.5026	6.1349
UBE2J2	5.1256	3.9809	4.1222	4.6155	4.6147	3.9134	4.4748	3.9474	4.6002	3.8593	4.3535	4.821	4.7851	5.6993	4.5069	4.5095	3.8681	4.2733	3.4399	4.4178	4.3094
ACAP3	0	0.90301	0	1.1536	0.91593	0.95448	0.63373	1.5692	0.69462	1.3728	0	0.74987	0.1956	0	0.61774	0.9412	1.1434	1.3755	1.8451	0.38813	0
